                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.00419,                      1,                      1,                0.31377,             0.00052456,             0.00052456,             0.00052456
                     70,                0.00127,                      1,                      1,                 0.3134,             0.00052173,             0.00052173,             0.00052173
                     71,                0.00919,                      1,                      1,                0.31323,             0.00051891,             0.00051891,             0.00051891
                     72,                0.00486,                      1,                      1,                0.31329,             0.00051608,             0.00051608,             0.00051608
                     73,                0.00185,                      1,                      1,                0.31323,             0.00051325,             0.00051325,             0.00051325
                     74,                0.00395,                      1,                      1,                0.31326,             0.00051042,             0.00051042,             0.00051042
                     75,                0.00531,                      1,                      1,                0.31331,              0.0005076,              0.0005076,              0.0005076
                     76,                0.00166,                      1,                      1,                0.31337,             0.00050477,             0.00050477,             0.00050477
                     77,                 0.0035,                      1,                      1,                0.31337,             0.00050194,             0.00050194,             0.00050194
                     78,                0.17154,                      1,                      1,                0.31323,             0.00049911,             0.00049911,             0.00049911
                     79,                0.01359,                      1,                      1,                0.31323,             0.00049629,             0.00049629,             0.00049629
                     80,                0.08043,                0.99642,                      1,                0.31616,             0.00049346,             0.00049346,             0.00049346
                     81,                0.01317,                0.99283,                      1,                0.31817,             0.00049063,             0.00049063,             0.00049063
                     82,                0.00469,                      1,                      1,                0.31426,              0.0004878,              0.0004878,              0.0004878
                     83,                0.00464,                      1,                      1,                 0.3134,             0.00048498,             0.00048498,             0.00048498
                     84,                0.02654,                      1,                      1,                0.31429,             0.00048215,             0.00048215,             0.00048215
                     85,                0.13933,                      1,                      1,                0.31331,             0.00047932,             0.00047932,             0.00047932
                     86,                 0.0072,                      1,                      1,                0.31478,              0.0004765,              0.0004765,              0.0004765
                     87,                0.04069,                      1,                      1,                0.31445,             0.00047367,             0.00047367,             0.00047367
                     88,                0.02494,                0.99642,                      1,                0.31548,             0.00047084,             0.00047084,             0.00047084
                     89,                0.01711,                      1,                      1,                 0.3138,             0.00046801,             0.00046801,             0.00046801
                     90,                0.00491,                0.99642,                      1,                0.31584,             0.00046519,             0.00046519,             0.00046519
                     91,                0.00282,                0.99642,                      1,                0.31605,             0.00046236,             0.00046236,             0.00046236
                     92,                 0.0137,                      1,                      1,                0.31413,             0.00045953,             0.00045953,             0.00045953
                     93,                0.00374,                      1,                      1,                0.31402,              0.0004567,              0.0004567,              0.0004567
                     94,                0.01197,                      1,                      1,                0.31337,             0.00045388,             0.00045388,             0.00045388
                     95,                0.01303,                      1,                      1,                0.31367,             0.00045105,             0.00045105,             0.00045105
                     96,                0.00846,                      1,                      1,                0.31367,             0.00044822,             0.00044822,             0.00044822
                     97,                0.01251,                      1,                      1,                0.31481,             0.00044539,             0.00044539,             0.00044539
                     98,                0.01635,                      1,                      1,                0.31337,             0.00044257,             0.00044257,             0.00044257
                     99,                  0.003,                      1,                      1,                0.31399,             0.00043974,             0.00043974,             0.00043974
                    100,                0.00454,                      1,                      1,                0.31375,             0.00043691,             0.00043691,             0.00043691
                    101,                0.00361,                      1,                      1,                0.31421,             0.00043408,             0.00043408,             0.00043408
                    102,                0.00118,                0.99642,                      1,                0.31491,             0.00043126,             0.00043126,             0.00043126
                    103,                 0.0016,                      1,                      1,                0.31361,             0.00042843,             0.00042843,             0.00042843
                    104,                0.00117,                      1,                      1,                 0.3138,              0.0004256,              0.0004256,              0.0004256
                    105,                0.00177,                      1,                      1,                0.31405,             0.00042277,             0.00042277,             0.00042277
                    106,                0.00065,                      1,                      1,                0.31329,             0.00041995,             0.00041995,             0.00041995
                    107,                0.14667,                      1,                      1,                0.31326,             0.00041712,             0.00041712,             0.00041712
                    108,                0.00374,                      1,                      1,                0.31323,             0.00041429,             0.00041429,             0.00041429
                    109,                0.00273,                      1,                      1,                0.31337,             0.00041146,             0.00041146,             0.00041146
                    110,                0.00348,                      1,                      1,                0.31331,             0.00040864,             0.00040864,             0.00040864
                    111,                0.00264,                      1,                      1,                0.31326,             0.00040581,             0.00040581,             0.00040581
                    112,                0.00194,                      1,                      1,                0.31331,             0.00040298,             0.00040298,             0.00040298
                    113,                0.00141,                      1,                      1,                0.31331,             0.00040015,             0.00040015,             0.00040015
                    114,                0.00112,                      1,                      1,                0.31353,             0.00039733,             0.00039733,             0.00039733
                    115,                0.00065,                      1,                      1,                0.31345,              0.0003945,              0.0003945,              0.0003945
                    116,                0.00165,                      1,                      1,                0.31334,             0.00039167,             0.00039167,             0.00039167
                    117,                0.00045,                      1,                      1,                0.31334,             0.00038884,             0.00038884,             0.00038884
                    118,                0.02848,                      1,                      1,                0.31329,             0.00038602,             0.00038602,             0.00038602
                    119,                0.00227,                      1,                      1,                0.31345,             0.00038319,             0.00038319,             0.00038319
                    120,                  0.005,                      1,                      1,                0.31456,             0.00038036,             0.00038036,             0.00038036
                    121,                0.00909,                      1,                      1,                0.31331,             0.00037753,             0.00037753,             0.00037753
                    122,                 0.0036,                      1,                      1,                0.31329,             0.00037471,             0.00037471,             0.00037471
                    123,                0.00605,                0.99642,                      1,                0.31478,             0.00037188,             0.00037188,             0.00037188
                    124,                0.00269,                0.99642,                      1,                0.31513,             0.00036905,             0.00036905,             0.00036905
                    125,                0.01692,                      1,                      1,                0.31459,             0.00036622,             0.00036622,             0.00036622
                    126,                0.00125,                      1,                      1,                0.31445,              0.0003634,              0.0003634,              0.0003634
                    127,                0.01867,                      1,                      1,                0.31364,             0.00036057,             0.00036057,             0.00036057
                    128,                0.00266,                      1,                      1,                0.31359,             0.00035774,             0.00035774,             0.00035774
                    129,                 0.0092,                      1,                      1,                0.31326,             0.00035492,             0.00035492,             0.00035492
                    130,                0.00361,                      1,                      1,                0.31334,             0.00035209,             0.00035209,             0.00035209
                    131,                0.00937,                      1,                      1,                0.31359,             0.00034926,             0.00034926,             0.00034926
                    132,                0.00116,                      1,                      1,                 0.3134,             0.00034643,             0.00034643,             0.00034643
                    133,                0.00917,                      1,                      1,                 0.3135,             0.00034361,             0.00034361,             0.00034361
                    134,                0.00617,                      1,                      1,                0.31502,             0.00034078,             0.00034078,             0.00034078
                    135,                0.01248,                      1,                      1,                0.31331,             0.00033795,             0.00033795,             0.00033795
                    136,                 0.0017,                      1,                      1,                0.31334,             0.00033512,             0.00033512,             0.00033512
                    137,                0.00144,                      1,                      1,                0.31329,              0.0003323,              0.0003323,              0.0003323
                    138,                0.00074,                      1,                      1,                0.31326,             0.00032947,             0.00032947,             0.00032947
                    139,                0.00095,                      1,                      1,                0.31326,             0.00032664,             0.00032664,             0.00032664
                    140,                0.00278,                      1,                      1,                0.31323,             0.00032381,             0.00032381,             0.00032381
                    141,                 0.0017,                      1,                      1,                0.31326,             0.00032099,             0.00032099,             0.00032099
                    142,                0.00029,                      1,                      1,                0.31323,             0.00031816,             0.00031816,             0.00031816
                    143,                0.00435,                      1,                      1,                0.31323,             0.00031533,             0.00031533,             0.00031533
                    144,                0.00125,                      1,                      1,                0.31326,              0.0003125,              0.0003125,              0.0003125
                    145,                0.00059,                      1,                      1,                0.31326,             0.00030968,             0.00030968,             0.00030968
                    146,                0.00236,                      1,                      1,                0.31326,             0.00030685,             0.00030685,             0.00030685
                    147,                0.00061,                      1,                      1,                0.31329,             0.00030402,             0.00030402,             0.00030402
                    148,                0.00148,                      1,                      1,                0.31326,             0.00030119,             0.00030119,             0.00030119
                    149,                0.00227,                      1,                      1,                0.31326,             0.00029837,             0.00029837,             0.00029837
                    150,                0.00078,                      1,                      1,                0.31326,             0.00029554,             0.00029554,             0.00029554
                    151,                0.00203,                      1,                      1,                0.31329,             0.00029271,             0.00029271,             0.00029271
                    152,                0.00359,                      1,                      1,                0.31326,             0.00028988,             0.00028988,             0.00028988
                    153,                0.00665,                      1,                      1,                0.31323,             0.00028706,             0.00028706,             0.00028706
                    154,                0.00146,                      1,                      1,                0.31326,             0.00028423,             0.00028423,             0.00028423
                    155,                0.00047,                      1,                      1,                0.31326,              0.0002814,              0.0002814,              0.0002814
                    156,                0.00074,                      1,                      1,                0.31323,             0.00027857,             0.00027857,             0.00027857
                    157,                0.00271,                      1,                      1,                0.31326,             0.00027575,             0.00027575,             0.00027575
                    158,                0.00122,                      1,                      1,                0.31323,             0.00027292,             0.00027292,             0.00027292
                    159,                 0.0007,                      1,                      1,                0.31326,             0.00027009,             0.00027009,             0.00027009
                    160,                0.00073,                      1,                      1,                0.31323,             0.00026726,             0.00026726,             0.00026726
                    161,                0.00023,                      1,                      1,                0.31323,             0.00026444,             0.00026444,             0.00026444
                    162,                0.00177,                      1,                      1,                0.31323,             0.00026161,             0.00026161,             0.00026161
                    163,                0.00084,                      1,                      1,                0.31326,             0.00025878,             0.00025878,             0.00025878
                    164,                  8e-05,                      1,                      1,                0.31323,             0.00025595,             0.00025595,             0.00025595
                    165,                0.00087,                      1,                      1,                0.31323,             0.00025313,             0.00025313,             0.00025313
                    166,                0.00041,                      1,                      1,                0.31326,              0.0002503,              0.0002503,              0.0002503
                    167,                0.00019,                      1,                      1,                0.31326,             0.00024747,             0.00024747,             0.00024747
                    168,                0.00027,                      1,                      1,                0.31326,             0.00024464,             0.00024464,             0.00024464
                    169,                0.00015,                      1,                      1,                0.31323,             0.00024182,             0.00024182,             0.00024182
                    170,                0.00025,                      1,                      1,                0.31326,             0.00023899,             0.00023899,             0.00023899
                    171,                0.00045,                      1,                      1,                0.31326,             0.00023616,             0.00023616,             0.00023616
                    172,                0.00238,                      1,                      1,                0.31326,             0.00023334,             0.00023334,             0.00023334
                    173,                0.00068,                      1,                      1,                0.31326,             0.00023051,             0.00023051,             0.00023051
                    174,                0.00064,                      1,                      1,                0.31323,             0.00022768,             0.00022768,             0.00022768
                    175,                0.00455,                      1,                      1,                0.31323,             0.00022485,             0.00022485,             0.00022485
                    176,                  0.002,                      1,                      1,                0.31329,             0.00022203,             0.00022203,             0.00022203
                    177,                0.00194,                      1,                      1,                0.31323,              0.0002192,              0.0002192,              0.0002192
                    178,                0.00139,                      1,                      1,                0.31323,             0.00021637,             0.00021637,             0.00021637
                    179,                0.01481,                      1,                      1,                0.31326,             0.00021354,             0.00021354,             0.00021354
                    180,                0.00726,                      1,                      1,                0.31326,             0.00021072,             0.00021072,             0.00021072
                    181,                0.00234,                      1,                      1,                0.31326,             0.00020789,             0.00020789,             0.00020789
                    182,                0.00237,                      1,                      1,                0.31323,             0.00020506,             0.00020506,             0.00020506
                    183,                0.00085,                      1,                      1,                0.31323,             0.00020223,             0.00020223,             0.00020223
                    184,                0.00079,                      1,                      1,                0.31323,             0.00019941,             0.00019941,             0.00019941
                    185,                0.00307,                      1,                      1,                0.31323,             0.00019658,             0.00019658,             0.00019658
                    186,                0.00089,                      1,                      1,                0.31326,             0.00019375,             0.00019375,             0.00019375
                    187,                0.00332,                      1,                      1,                0.31326,             0.00019092,             0.00019092,             0.00019092
                    188,                0.05761,                      1,                      1,                0.31326,              0.0001881,              0.0001881,              0.0001881
                    189,                0.00183,                      1,                      1,                0.31329,             0.00018527,             0.00018527,             0.00018527
                    190,                0.00839,                      1,                      1,                0.31326,             0.00018244,             0.00018244,             0.00018244
                    191,                0.00035,                      1,                      1,                0.31323,             0.00017961,             0.00017961,             0.00017961
                    192,                0.19637,                      1,                      1,                0.31323,             0.00017679,             0.00017679,             0.00017679
                    193,                0.00153,                      1,                      1,                0.31326,             0.00017396,             0.00017396,             0.00017396
                    194,                0.00212,                      1,                      1,                0.31323,             0.00017113,             0.00017113,             0.00017113
                    195,                  0.001,                      1,                      1,                0.31323,              0.0001683,              0.0001683,              0.0001683
                    196,                0.00064,                      1,                      1,                0.31323,             0.00016548,             0.00016548,             0.00016548
                    197,                0.00254,                      1,                      1,                0.31323,             0.00016265,             0.00016265,             0.00016265
                    198,                0.00619,                      1,                      1,                0.31326,             0.00015982,             0.00015982,             0.00015982
                    199,                0.00105,                      1,                      1,                0.31326,             0.00015699,             0.00015699,             0.00015699
                    200,                0.00035,                      1,                      1,                0.31326,             0.00015417,             0.00015417,             0.00015417
                    201,                0.01104,                      1,                      1,                0.31326,             0.00015134,             0.00015134,             0.00015134
                    202,                0.00593,                      1,                      1,                0.31326,             0.00014851,             0.00014851,             0.00014851
                    203,                0.00271,                      1,                      1,                0.31323,             0.00014568,             0.00014568,             0.00014568
                    204,                0.00054,                      1,                      1,                0.31323,             0.00014286,             0.00014286,             0.00014286
                    205,                0.00284,                      1,                      1,                0.31326,             0.00014003,             0.00014003,             0.00014003
                    206,                0.00407,                      1,                      1,                0.31326,              0.0001372,              0.0001372,              0.0001372
                    207,                0.00062,                      1,                      1,                0.31326,             0.00013437,             0.00013437,             0.00013437
                    208,                0.00071,                      1,                      1,                0.31326,             0.00013155,             0.00013155,             0.00013155
                    209,                0.00079,                      1,                      1,                0.31326,             0.00012872,             0.00012872,             0.00012872
                    210,                0.00036,                      1,                      1,                0.31326,             0.00012589,             0.00012589,             0.00012589
                    211,                0.00118,                      1,                      1,                0.31326,             0.00012307,             0.00012307,             0.00012307
