                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2763,                 2.2928,                 1.7765,                0.17624,                0.19169,                0.12684,                0.03633,                 2.6091,                 2.4136,                 2.1065,              0.0017466,              0.0017466,              0.0017466
                     35,                 2.1956,                 2.2104,                 1.7069,                 0.1729,                0.16166,                0.10329,                0.02978,                 2.7586,                   2.56,                 2.1225,              0.0017386,              0.0017386,              0.0017386
                     36,                  2.254,                 2.2094,                  1.721,                0.18895,                0.13626,                0.08407,                0.02322,                 2.8418,                 2.7858,                 2.1828,              0.0017307,              0.0017307,              0.0017307
                     37,                 2.2411,                 2.2367,                 1.6972,                0.13901,                0.15704,                 0.0745,                0.02269,                 2.6992,                 2.7512,                  2.166,              0.0017228,              0.0017228,              0.0017228
                     38,                 2.2459,                 2.2864,                  1.701,                0.24164,                0.18014,                0.14011,                0.04444,                 2.5788,                 2.4772,                 2.0593,              0.0017149,              0.0017149,              0.0017149
                     39,                 2.2294,                 2.2416,                 1.7206,                0.19806,                0.17783,                0.09281,                 0.0289,                 2.5349,                 2.7128,                 2.1333,               0.001707,               0.001707,               0.001707
                     40,                 2.2001,                 2.2175,                 1.7073,                 0.1875,                0.12471,                  0.101,                0.03123,                 2.6492,                 2.7192,                 2.1468,               0.001699,               0.001699,               0.001699
                     41,                 2.2429,                 2.2343,                 1.7222,                 0.2517,                0.21247,                0.16805,                0.05364,                 2.5139,                 2.4169,                  1.983,              0.0016911,              0.0016911,              0.0016911
                     42,                 2.2098,                 2.2178,                 1.6963,                  0.198,                0.16397,                0.11145,                 0.0353,                 2.5818,                 2.6283,                 2.0828,              0.0016832,              0.0016832,              0.0016832
                     43,                 2.2145,                 2.1697,                 1.6924,                 0.2101,                0.17552,                0.12152,                0.03785,                 2.6042,                 2.5147,                   2.04,              0.0016753,              0.0016753,              0.0016753
                     44,                 2.1889,                 2.1733,                 1.6774,                0.26319,                0.15012,                0.12378,                0.03809,                 2.6919,                 2.6115,                 2.1949,              0.0016674,              0.0016674,              0.0016674
                     45,                 2.1632,                 2.2089,                 1.6787,                 0.2251,                0.19169,                0.11588,                0.03591,                 2.6557,                 2.5428,                 2.1045,              0.0016594,              0.0016594,              0.0016594
                     46,                 2.1583,                 2.1337,                   1.69,                0.14667,                0.17783,                0.08687,                0.02742,                 2.7481,                 2.6547,                 2.1366,              0.0016515,              0.0016515,              0.0016515
                     47,                 2.1847,                 2.1575,                 1.7037,                0.24657,                0.21016,                0.13831,                0.04414,                 2.6066,                 2.5153,                 2.0535,              0.0016436,              0.0016436,              0.0016436
                     48,                 2.1714,                 2.1531,                 1.6895,                 0.2643,                0.19169,                0.14539,                0.04861,                 2.5795,                 2.4828,                 2.0372,              0.0016357,              0.0016357,              0.0016357
                     49,                 2.1833,                 2.1669,                 1.6625,                0.24473,                0.21016,                0.12369,                0.03796,                 2.5923,                 2.5996,                 2.1145,              0.0016278,              0.0016278,              0.0016278
                     50,                 2.1923,                 2.2048,                 1.6748,                0.19945,                0.17552,                 0.1038,                0.03347,                 2.6263,                 2.5535,                 2.0556,              0.0016198,              0.0016198,              0.0016198
                     51,                 2.1673,                 2.1634,                 1.6469,                0.17344,                0.19861,                0.10684,                 0.0349,                 2.5612,                 2.6499,                 1.9613,              0.0016119,              0.0016119,              0.0016119
                     52,                 2.1508,                 2.2027,                 1.6785,                0.17509,                0.15012,                0.07651,                0.02111,                 2.6925,                 2.7176,                 2.2707,               0.001604,               0.001604,               0.001604
                     53,                 2.1575,                 2.1909,                 1.6797,                0.19216,                0.20785,                0.13987,                0.04412,                 2.5871,                 2.5022,                 2.2198,              0.0015961,              0.0015961,              0.0015961
                     54,                 2.1256,                 2.1217,                 1.6341,                0.16047,                0.18938,                0.09145,                 0.0287,                 2.5649,                 2.6987,                 2.1141,              0.0015882,              0.0015882,              0.0015882
                     55,                 2.1404,                 2.1729,                  1.685,                0.16783,                0.13395,                0.07731,                0.02507,                 2.6686,                 2.8891,                 2.1708,              0.0015802,              0.0015802,              0.0015802
                     56,                 2.1756,                 2.1668,                 1.6597,                0.17617,                0.18938,                 0.1186,                0.03342,                  2.649,                 2.5769,                 2.0854,              0.0015723,              0.0015723,              0.0015723
                     57,                 2.1233,                 2.0846,                 1.6296,                0.20146,                0.19169,                0.12527,                0.04082,                 2.6131,                 2.6595,                  2.082,              0.0015644,              0.0015644,              0.0015644
                     58,                 2.1534,                 2.1745,                 1.6503,                0.18383,                0.13857,                0.09634,                0.02834,                  2.656,                 2.7927,                 2.1666,              0.0015565,              0.0015565,              0.0015565
                     59,                 2.1521,                 2.1737,                 1.6601,                0.21463,                0.17783,                0.10826,                0.02955,                 2.6677,                 2.5423,                 2.1391,              0.0015486,              0.0015486,              0.0015486
                     60,                 2.1809,                 2.1055,                 1.6601,                0.24273,                0.21246,                0.14775,                 0.0477,                 2.5697,                 2.4632,                   2.09,              0.0015406,              0.0015406,              0.0015406
                     61,                 2.1167,                 2.0765,                 1.6299,                0.26918,                0.19861,                0.13283,                0.04193,                 2.5791,                  2.631,                 2.0788,              0.0015327,              0.0015327,              0.0015327
                     62,                 2.0959,                 2.0634,                 1.6375,                0.24532,                0.24248,                0.16275,                0.05135,                  2.665,                 2.4636,                 2.0986,              0.0015248,              0.0015248,              0.0015248
                     63,                 2.0857,                 2.0735,                 1.6358,                0.21718,                0.21593,                0.14393,                0.04603,                 2.6706,                 2.4794,                 2.0882,              0.0015169,              0.0015169,              0.0015169
                     64,                 2.0923,                 2.0541,                 1.6392,                0.21335,                0.21709,                0.13225,                  0.043,                 2.5949,                 2.4552,                 2.0351,               0.001509,               0.001509,               0.001509
                     65,                 2.0769,                 2.0727,                 1.6382,                0.18524,                 0.1696,                0.11401,                0.03967,                 2.6547,                 2.5508,                 2.1351,               0.001501,               0.001501,               0.001501
                     66,                 2.0939,                 2.0695,                 1.6694,                0.19401,                0.18014,                0.10902,                0.03434,                 2.6108,                 2.6266,                 2.1359,              0.0014931,              0.0014931,              0.0014931
                     67,                 2.0962,                 2.0485,                  1.639,                0.23068,                 0.2216,                0.15516,                0.05277,                 2.6342,                 2.5382,                 2.0628,              0.0014852,              0.0014852,              0.0014852
                     68,                 2.0554,                 2.0211,                 1.5987,                0.20548,                 0.1455,                0.10123,                0.03193,                 2.6662,                  2.825,                 2.1964,              0.0014773,              0.0014773,              0.0014773
                     69,                 2.0879,                 2.0188,                 1.6087,                0.19429,                0.18938,                0.11709,                0.03713,                 2.6061,                  2.687,                 2.1758,              0.0014694,              0.0014694,              0.0014694
                     70,                 2.0837,                 2.0061,                 1.5965,                0.14902,                0.16166,                0.07868,                0.02469,                 2.7576,                 2.7446,                 2.0923,              0.0014614,              0.0014614,              0.0014614
                     71,                 2.1179,                  2.028,                 1.6147,                0.20066,                0.15242,                0.10299,                0.03226,                 2.7656,                 2.7304,                 2.2497,              0.0014535,              0.0014535,              0.0014535
                     72,                 2.0945,                 1.9944,                 1.6154,                0.18527,                0.15242,                0.09176,                0.02917,                 2.6708,                 2.7234,                 2.2479,              0.0014456,              0.0014456,              0.0014456
                     73,                  2.066,                 1.9781,                 1.6191,                0.26733,                0.21016,                0.14862,                0.04556,                 2.6404,                 2.5594,                 2.0973,              0.0014377,              0.0014377,              0.0014377
                     74,                 2.0471,                 1.9777,                 1.6044,                0.26483,                  0.194,                0.13833,                0.04202,                 2.5839,                 2.5192,                 2.0623,              0.0014298,              0.0014298,              0.0014298
                     75,                 2.0673,                 2.0285,                 1.6263,                0.26945,                0.22402,                0.15446,                0.05059,                 2.5801,                 2.3647,                 2.0408,              0.0014218,              0.0014218,              0.0014218
                     76,                 2.0468,                 2.0045,                 1.6359,                0.18766,                0.20554,                0.11233,                0.03563,                 2.6316,                  2.641,                 2.1376,              0.0014139,              0.0014139,              0.0014139
                     77,                 2.1044,                 2.0029,                 1.6252,                0.17938,                0.18245,                0.10611,                0.03304,                 2.6519,                 2.7051,                 2.1586,               0.001406,               0.001406,               0.001406
                     78,                 2.0752,                 1.9565,                 1.5862,                 0.2077,                0.24018,                0.13734,                0.04447,                 2.6003,                 2.4876,                 2.0988,              0.0013981,              0.0013981,              0.0013981
                     79,                  1.993,                 1.9157,                 1.5591,                0.18038,                 0.1709,                0.09536,                0.03018,                 2.6365,                 2.8822,                 2.1865,              0.0013902,              0.0013902,              0.0013902
                     80,                 2.0435,                   1.98,                 1.6164,                0.20772,                0.21478,                0.11395,                0.03277,                 2.6385,                 2.6798,                 2.2338,              0.0013822,              0.0013822,              0.0013822
                     81,                 2.0083,                 1.9281,                 1.5835,                0.25417,                  0.194,                0.15448,                0.04878,                 2.6217,                  2.399,                 2.2182,              0.0013743,              0.0013743,              0.0013743
                     82,                 2.0585,                 1.9552,                 1.6008,                0.21895,                  0.194,                0.14294,                0.04717,                 2.6479,                 2.6185,                 2.2414,              0.0013664,              0.0013664,              0.0013664
                     83,                 1.9961,                  1.908,                 1.5549,                0.21927,                0.20691,                 0.1263,                 0.0411,                 2.6076,                 2.6102,                 2.1355,              0.0013585,              0.0013585,              0.0013585
                     84,                 2.0124,                 1.9248,                 1.5836,                0.23351,                0.21478,                0.14129,                0.04083,                 2.6332,                 2.4958,                 2.0384,              0.0013506,              0.0013506,              0.0013506
                     85,                  2.001,                 1.9402,                 1.5867,                0.23265,                  0.194,                0.13243,                0.04038,                 2.6178,                 2.6101,                 2.1322,              0.0013426,              0.0013426,              0.0013426
                     86,                 1.9964,                 1.8594,                 1.5353,                0.20606,                0.15225,                0.10805,                0.03598,                 2.5673,                 2.6684,                 2.0831,              0.0013347,              0.0013347,              0.0013347
                     87,                 1.9647,                 1.8689,                 1.5493,                0.17504,                 0.1455,                0.08978,                0.02846,                 2.6272,                 2.7369,                 2.1412,              0.0013268,              0.0013268,              0.0013268
                     88,                 2.0124,                 1.9268,                 1.5914,                0.17749,                0.19861,                0.10754,                0.03323,                 2.6481,                 2.7706,                 2.1809,              0.0013189,              0.0013189,              0.0013189
                     89,                 1.9816,                 1.8684,                 1.5441,                0.22187,                0.18476,                0.13195,                0.04299,                 2.5716,                 2.7246,                 2.1237,               0.001311,               0.001311,               0.001311
                     90,                 1.9819,                 1.8389,                 1.5559,                0.23807,                0.21478,                 0.1527,                0.05019,                    2.6,                 2.6166,                 2.1221,               0.001303,               0.001303,               0.001303
                     91,                 2.0076,                 1.9179,                 1.5855,                 0.2931,                 0.2194,                0.16813,                0.04862,                 2.5791,                 2.5626,                 2.0855,              0.0012951,              0.0012951,              0.0012951
                     92,                  1.983,                  1.806,                 1.5554,                0.24953,                0.21709,                0.15288,                0.04512,                 2.6566,                 2.5828,                 2.1001,              0.0012872,              0.0012872,              0.0012872
                     93,                 1.9869,                 1.8493,                 1.5537,                0.21763,                0.20785,                0.13331,                0.03915,                 2.6847,                 2.5855,                 2.1243,              0.0012793,              0.0012793,              0.0012793
                     94,                 1.9963,                 1.8302,                 1.5421,                0.21701,                0.22402,                0.13482,                0.03758,                 2.7385,                 2.5684,                 2.2141,              0.0012714,              0.0012714,              0.0012714
                     95,                 2.0037,                  1.861,                 1.5814,                0.24264,                0.23825,                0.15607,                0.04554,                 2.6892,                 2.5387,                 2.1332,              0.0012634,              0.0012634,              0.0012634
                     96,                 1.9481,                 1.8764,                 1.5656,                0.22319,                0.17783,                0.11042,                0.03557,                 2.6744,                 2.7254,                 2.1578,              0.0012555,              0.0012555,              0.0012555
