                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                      0,                      1,                      1,                      0,             0.00050194,             0.00050194,             0.00050194
                     78,                      0,                      1,                      1,                      0,             0.00049911,             0.00049911,             0.00049911
                     79,                      0,                      1,                      1,                      0,             0.00049629,             0.00049629,             0.00049629
                     80,                      0,                      1,                      1,                      0,             0.00049346,             0.00049346,             0.00049346
                     81,                      0,                      1,                      1,                      0,             0.00049063,             0.00049063,             0.00049063
                     82,                      0,                      1,                      1,                      0,              0.0004878,              0.0004878,              0.0004878
                     83,                      0,                      1,                      1,                      0,             0.00048498,             0.00048498,             0.00048498
                     84,                      0,                      1,                      1,                      0,             0.00048215,             0.00048215,             0.00048215
                     85,                      0,                      1,                      1,                      0,             0.00047932,             0.00047932,             0.00047932
                     86,                      0,                      1,                      1,                      0,              0.0004765,              0.0004765,              0.0004765
                     87,                      0,                      1,                      1,                      0,             0.00047367,             0.00047367,             0.00047367
                     88,                      0,                      1,                      1,                      0,             0.00047084,             0.00047084,             0.00047084
                     89,                      0,                      1,                      1,                      0,             0.00046801,             0.00046801,             0.00046801
                     90,                      0,                      1,                      1,                      0,             0.00046519,             0.00046519,             0.00046519
                     91,                      0,                      1,                      1,                      0,             0.00046236,             0.00046236,             0.00046236
                     92,                      0,                      1,                      1,                      0,             0.00045953,             0.00045953,             0.00045953
                     93,                      0,                      1,                      1,                      0,              0.0004567,              0.0004567,              0.0004567
                     94,                      0,                      1,                      1,                      0,             0.00045388,             0.00045388,             0.00045388
                     95,                      0,                      1,                      1,                      0,             0.00045105,             0.00045105,             0.00045105
                     96,                      0,                      1,                      1,                      0,             0.00044822,             0.00044822,             0.00044822
                     97,                      0,                      1,                      1,                      0,             0.00044539,             0.00044539,             0.00044539
                     98,                      0,                      1,                      1,                      0,             0.00044257,             0.00044257,             0.00044257
                     99,                      0,                      1,                      1,                      0,             0.00043974,             0.00043974,             0.00043974
                    100,                      0,                      1,                      1,                      0,             0.00043691,             0.00043691,             0.00043691
                    101,                      0,                      1,                      1,                      0,             0.00043408,             0.00043408,             0.00043408
                    102,                      0,                      1,                      1,                      0,             0.00043126,             0.00043126,             0.00043126
                    103,                      0,                      1,                      1,                      0,             0.00042843,             0.00042843,             0.00042843
                    104,                      0,                      1,                      1,                      0,              0.0004256,              0.0004256,              0.0004256
                    105,                      0,                      1,                      1,                      0,             0.00042277,             0.00042277,             0.00042277
                    106,                      0,                      1,                      1,                      0,             0.00041995,             0.00041995,             0.00041995
                    107,                      0,                      1,                      1,                      0,             0.00041712,             0.00041712,             0.00041712
                    108,                      0,                      1,                      1,                      0,             0.00041429,             0.00041429,             0.00041429
                    109,                      0,                      1,                      1,                      0,             0.00041146,             0.00041146,             0.00041146
                    110,                      0,                      1,                      1,                      0,             0.00040864,             0.00040864,             0.00040864
                    111,                      0,                      1,                      1,                      0,             0.00040581,             0.00040581,             0.00040581
                    112,                      0,                      1,                      1,                      0,             0.00040298,             0.00040298,             0.00040298
                    113,                      0,                      1,                      1,                      0,             0.00040015,             0.00040015,             0.00040015
                    114,                      0,                      1,                      1,                      0,             0.00039733,             0.00039733,             0.00039733
                    115,                      0,                      1,                      1,                      0,              0.0003945,              0.0003945,              0.0003945
                    116,                      0,                      1,                      1,                      0,             0.00039167,             0.00039167,             0.00039167
                    117,                      0,                      1,                      1,                      0,             0.00038884,             0.00038884,             0.00038884
                    118,                      0,                      1,                      1,                      0,             0.00038602,             0.00038602,             0.00038602
                    119,                      0,                      1,                      1,                      0,             0.00038319,             0.00038319,             0.00038319
                    120,                      0,                      1,                      1,                      0,             0.00038036,             0.00038036,             0.00038036
                    121,                      0,                      1,                      1,                      0,             0.00037753,             0.00037753,             0.00037753
                    122,                      0,                      1,                      1,                      0,             0.00037471,             0.00037471,             0.00037471
